House.Number,Visit,house.number.visit,house.number.visit.date,Location,first.day,Ozone.UDAQ.ppb,UDAQ.n_OZONE,season,Monitor.closest,O3.mg.m3,O3.ppb,O3.LOD.ppb,O3.Below.detection,ozone.max,average.RH,min.RH,max.RH,average.Temp,min.Temp,max.Temp,time.hours,Type of Air Conditioner,ac.type,flow_level
H30,V1,H30 V1,2023-08-10 H30 V1,In,2023-08-10T00:00:00Z,37,24,Summer,Lindon,3.5999999999999997E-2,21.563250651975178,3.450120104316028,FALSE,0.0216,61.71328671328671,49.7,74.6,21.86993006993007,19.2,24.4,23.833333333333332,Evaporative,EC,High
H30,V1,H30 V1,2023-08-10 H30 V1,Out,2023-08-10T00:00:00Z,37,24,Summer,Lindon,0.05,30.12646858063853,3.544290421251592,FALSE,0.0301,43.273426573426576,3.2,72.2,24.46428536585366,15.90136,34.41339,23.916666666666668,Evaporative,EC,High
H31,V1,H31 V1,2023-08-24 H31 V1,In,2023-08-24T00:00:00Z,35.083333333333336,24,Summer,Spanish Fork,<0.0056,NA,3.3728761724095726,TRUE,0.0034,NA,NA,NA,NA,NA,NA,NA,Central,AC,High
H31,V1,H31 V1,2023-08-24 H31 V1,Out,2023-08-24T00:00:00Z,35.083333333333336,24,Summer,Spanish Fork,4.2999999999999997E-2,26.130206446624367,3.3716395414999174,FALSE,0.0261,48.270345034722226,20.34466,75.30016,22.918591111111112,15.35732,33.19846,24,Central,AC,High
H32,V1,H32 V1,2023-08-28 H32 V1,In,2023-08-28T00:00:00Z,36.958333333333336,24,Summer,Lindon,2.8000000000000001E-2,16.916444992528906,3.3832889985057806,FALSE,0.0169,53.10243902439024,45.1,60.1,22.604181184668988,19.7,26,23.916666666666668,Evaporative,EC,High
H32,V1,H32 V1,2023-08-28 H32 V1,Out,2023-08-28T00:00:00Z,36.958333333333336,24,Summer,Lindon,4.3999999999999997E-2,26.15030926942299,3.374233454119094,FALSE,0.0262,38.59230769230769,15,65.5,25.17491513888889,15.77468,35.6129,24,Evaporative,EC,High
H33,V1,H33 V1,2023-08-31 H33 V1,In,2023-08-31T00:00:00Z,41.78260869565217,23,Summer,Lindon,<0.0058,NA,3.4944534652438097,TRUE,0.0035,40.437992831541216,35.4,46.8,22.093548387096774,21.5,23.2,23.25,Central,AC,High
H33,V1,H33 V1,2023-08-31 H33 V1,Out,2023-08-31T00:00:00Z,41.78260869565217,23,Summer,Lindon,5.0999999999999997E-2,30.871343441975764,3.528153536225801,FALSE,0.0309,35.3527900358423,18.99696,78.20777,23.563183655913978,15.16651,33.87321,23.25,Central,AC,High
H02,V1,H02 V1,2022-07-26 H02 V1,In,2022-07-26T00:00:00Z,48.708333333333336,24,Summer,Spanish Fork,<0.01,NA,7.063776091205647,TRUE,0.0071,42.06148409893993,39.9,44.9,23.720494699646643,22.3,25.3,23.583333333333332,Central,AC,Low
H02,V4,H02 V4,2023-08-31 H02 V4,In,2023-08-31T00:00:00Z,39.84,25,Summer,Spanish Fork,<0.0059,NA,3.5622439318001105,TRUE,0.0036,NA,NA,NA,NA,NA,NA,NA,Central,AC,High
